"행정구역별",2022,2023,2024
"전국",514.6,515.4,515.7
"서울특별시",15560.7,15506.4,15425.0
"부산광역시",4272.8,4252.0,4222.9
"대구광역시",2673.7,1586.7,1580.1
"인천광역시",2801.3,2835.7,2859.3
"광주광역시",2931.9,2908.5,2882.8
"대전광역시",2730.7,2724.0,2718.1
"울산광역시",1044.9,1042.0,1041.4
"세종특별자치시",822.9,830.7,839.0
"경기도",1344.9,1354.5,1364.0
"강원특별자치도",90.8,90.8,90.5
"충청북도",219.4,221.6,222.3
"충청남도",265.9,268.7,271.4
"전북특별자치도",219.8,219.1,217.8
"전라남도",143.3,143.7,143.8
"경상북도",137.7,140.6,139.9
"경상남도",311.2,310.3,309.6
"제주특별자치도",365.6,365.8,364.7
